Briarwood,1709.0,1669.33,1720.0,1734.33,1712.33,1716.5,1725.0,1754.33,1696.67,1690.0,1730.17,1671.0,1706.67,1728.67,1814.33,1761.25,1772.67,1756.33,1733.0,1783.0,1786.67,1761.67,1774.33,1794.0,1816.67,1754.33,1785.33,1737.0,1757.33,1737.67,1730.0,1725.0,1725.0,1725.0,1745.0,1894.33,1890.67,1880.0,1915.0,1891.67
Brighton Beach,2004.25,1796.0,2073.33,1965.0,2182.67,1963.58,1925.0,1900.0,1896.0,2133.33,2122.75,2158.33,2133.33,2141.67,2057.67,2056.17,2012.67,2062.67,2099.33,2050.0,2036.58,2141.0,2007.67,1998.33,1999.33,2048.25,2014.67,2073.67,2116.33,1988.33,1955.92,1815.0,1862.67,2006.0,2140.0,2221.08,2051.67,2141.67,2291.0,2400.0
Bronx,1534.92,1475.0,1499.67,1566.67,1598.33,1652.5,1583.33,1645.0,1699.67,1682.0,1736.08,1701.0,1716.67,1750.0,1776.67,1867.75,1812.33,1900.0,1891.33,1867.33,1918.25,1874.67,1896.67,1950.0,1951.67,1970.58,1974.33,1998.0,1996.67,1913.33,2011.17,1924.33,1983.33,2059.67,2077.33,2238.5,2157.67,2216.67,2299.67,2280.0
Bronxwood,1250.0,1250.0,,,,1505.25,,,1613.0,1469.33,1528.17,1521.0,1558.33,1541.67,1491.67,1600.25,1591.67,1604.33,1570.0,1635.0,1763.42,1632.67,1756.67,1882.67,1781.67,1652.0,1660.0,,1712.5,1606.33,1684.17,1671.67,1657.0,1663.0,1745.0,1793.83,1725.0,1966.67,1792.0,1691.67
Brooklyn,2556.83,2533.33,2560.67,2616.67,2516.67,2594.08,2576.67,2633.33,2633.33,2533.0,2525.25,2498.33,2516.67,2604.33,2481.67,2551.25,2465.0,2565.0,2658.33,2516.67,2610.25,2500.0,2615.0,2699.67,2626.33,2589.67,2640.33,2699.67,2598.33,2420.33,2531.08,2399.33,2450.0,2648.33,2626.67,3094.92,2800.0,3078.33,3351.33,3150.0
Brooklyn Heights,3032.42,2865.0,2994.33,3193.33,3077.0,3181.33,3184.33,3103.33,3187.67,3250.0,3113.17,3283.33,3092.67,3010.0,3066.67,3154.75,3085.0,2964.67,3306.67,3262.67,3498.33,3292.33,3462.0,3553.33,3685.67,3245.83,3610.0,3479.67,3066.0,2827.67,3089.08,2766.0,2891.33,3182.33,3516.67,4257.42,3953.33,3968.33,4491.33,4616.67
Brownsville,1472.25,1318.33,1466.67,1533.33,1570.67,1637.33,1602.67,1600.0,1680.0,1666.67,1749.42,1733.33,1783.33,1733.33,1747.67,1830.83,1741.67,1781.67,1858.33,1941.67,2049.58,2100.0,2125.0,1982.33,1991.0,2041.5,1995.67,1866.33,2199.0,2105.0,1978.0,1948.33,1900.0,2068.0,1995.67,2096.08,1969.67,2108.0,2140.33,2166.33
Bushwick,2536.42,2466.33,2532.67,2615.0,2531.67,2573.92,2583.33,2617.67,2600.0,2494.67,2540.67,2464.67,2583.0,2633.33,2481.67,2569.92,2480.33,2621.33,2665.0,2513.0,2675.92,2546.33,2641.67,2783.0,2732.67,2572.25,2777.0,2607.0,2523.33,2381.67,2596.5,2384.0,2450.0,2752.0,2800.0,3191.67,2983.33,3233.33,3416.67,3133.33
Canarsie,1758.33,1616.67,1733.33,1850.0,1833.33,1819.83,1800.0,1820.67,1837.67,1821.0,1977.08,1933.33,2075.0,1941.67,1958.33,2122.75,2091.33,2099.67,2216.67,2083.33,2062.33,2063.33,2033.33,2052.67,2100.0,2241.75,2233.33,2266.33,2208.33,2259.0,2136.42,2141.67,2040.0,2081.0,2283.0,2321.92,2225.0,2300.0,2400.0,2362.67
Carroll Gardens,2960.25,2866.67,2974.33,3000.0,3000.0,3010.0,2950.0,3023.33,3066.67,3000.0,2884.42,2866.67,2883.33,2871.0,2916.67,3003.42,2866.67,3104.33,3000.0,3042.67,3168.92,2942.67,2941.33,3441.67,3350.0,3053.33,3331.67,3281.67,2950.0,2650.0,2954.17,2500.0,2675.0,3083.33,3558.33,4111.67,3480.0,4066.67,4325.0,4575.0
Central Harlem,2342.67,2377.67,2300.0,2316.67,2376.33,2457.08,2398.33,2446.67,2483.33,2500.0,2420.92,2415.0,2383.33,2490.33,2395.0,2487.33,2448.33,2516.67,2550.0,2434.33,2581.0,2478.0,2648.33,2660.0,2537.67,2485.17,2500.0,2565.0,2483.0,2392.67,2382.83,2300.0,2362.67,2434.33,2434.33,2788.92,2538.67,2774.33,2981.0,2861.67
Central Park South,7556.08,7608.33,7016.0,7683.33,7916.67,7476.67,7583.67,7575.0,7329.33,7418.67,6941.33,7125.33,6800.0,6890.0,6950.0,7484.5,7241.67,7031.67,7515.0,8149.67,7149.67,7450.0,7057.0,6633.33,7458.33,7005.08,7841.0,7475.0,6154.33,6550.0,7493.58,6916.0,6991.67,7566.67,8500.0,9268.75,7983.33,8700.0,10500.0,9891.67
Chelsea,3934.17,3781.67,3965.0,4033.33,3956.67,3980.5,3860.33,4081.67,4013.33,3966.67,3904.5,3918.33,3918.0,3848.33,3933.33,4014.58,3981.67,3996.67,4067.33,4012.67,4274.75,4134.33,4335.67,4357.0,4272.0,3736.25,4155.0,3896.67,3541.67,3351.67,4069.08,3499.0,3693.67,4381.67,4702.0,5115.08,4902.33,5137.33,5189.67,5231.0
Chinatown,2874.83,2891.0,2866.67,2833.33,2908.33,2819.67,2658.33,2796.67,2857.67,2966.0,2807.83,2825.0,2891.67,2790.33,2724.33,2749.17,2689.33,2800.0,2791.0,2716.33,2809.42,2687.67,2800.0,2700.0,3050.0,2772.42,3090.0,2973.33,2643.0,2383.33,2548.83,2365.0,2466.0,2598.33,2766.0,3140.92,3199.33,3322.67,2983.33,3058.33
Clinton Hill,2733.33,2733.33,2728.33,2766.67,2705.0,2703.25,2693.67,2684.0,2717.67,2717.67,2675.33,2633.33,2683.33,2633.0,2751.67,2755.17,2650.0,2847.67,2800.0,2723.0,3038.5,2966.67,3129.67,3050.0,3007.67,2856.25,3016.33,2987.67,2800.0,2621.0,2817.33,2596.67,2650.0,3022.67,3000.0,3715.33,3453.67,3566.67,3930.0,3911.0
Cobble Hill,3155.67,3022.67,3100.0,3275.0,3225.0,3129.58,3161.67,3225.0,3133.33,2998.33,2983.92,2773.67,2887.0,3166.67,3108.33,3175.0,3000.0,3150.67,3383.33,3166.0,3418.08,3208.33,3221.67,3704.0,3538.33,3114.25,3350.0,3350.0,2940.33,2816.67,3022.5,2791.67,2716.67,3166.67,3415.0,4397.17,3724.33,4698.33,4766.0,4400.0
Columbia St Waterfront District,2709.42,2766.67,2650.0,2612.67,2808.33,2911.33,2916.0,2950.0,2965.0,2814.33,2673.92,2662.67,2583.0,2716.67,2733.33,2798.0,2600.0,2833.33,2992.0,2766.67,2871.92,2716.67,2850.0,3066.67,2854.33,2751.67,2750.0,2796.0,2905.67,2555.0,2637.5,2543.33,2433.33,2658.33,2915.0,3575.0,2975.0,3783.33,3666.67,3875.0
Concourse,1487.08,1381.67,1491.67,1541.67,1533.33,1564.17,1498.33,1566.67,1633.33,1558.33,1627.67,1561.33,1616.67,1650.33,1682.33,1746.83,1715.0,1833.0,1714.33,1725.0,1738.83,1740.0,1765.0,1716.67,1733.67,1779.75,1843.0,1868.0,1733.0,1675.0,1885.08,1825.0,1906.67,1889.33,1919.33,1919.17,1798.33,1866.33,1952.0,2060.0
Coney Island,2005.58,1982.67,1979.33,2031.67,2028.67,2146.17,2142.67,2065.67,2177.0,2199.33,2160.08,2258.33,2133.33,2050.0,2198.67,2208.33,2100.0,2241.67,2241.67,2250.0,2198.5,2158.67,2173.0,2254.0,2208.33,2305.67,2410.0,2246.0,2298.33,2268.33,2169.5,2159.0,2123.0,2158.33,2237.67,2561.25,2266.67,2259.0,2613.33,3106.0
Corona,1628.25,1545.33,1633.33,1654.33,1680.0,1830.83,1784.33,1771.67,1866.33,1901.0,1858.83,1806.0,1875.0,1861.67,1892.67,2006.08,1839.33,1855.67,2250.0,2079.33,2115.17,2179.33,2284.67,2068.33,1928.33,1879.25,1952.67,1876.33,1878.0,1810.0,1897.08,1950.67,1812.33,1933.67,1891.67,2270.17,2020.0,2209.67,2443.33,2407.67
Crown Heights,2297.25,2248.33,2299.0,2366.67,2275.0,2390.33,2350.0,2416.67,2464.33,2330.33,2369.17,2296.67,2333.0,2467.0,2380.0,2447.33,2333.0,2425.0,2631.33,2400.0,2506.58,2399.67,2498.33,2598.33,2530.0,2451.08,2580.0,2483.0,2466.33,2275.0,2411.92,2288.33,2342.67,2483.33,2533.33,2939.0,2683.33,2941.33,3150.0,2981.33
DUMBO,4191.17,4067.0,3975.0,4296.0,4426.67,4438.58,4145.67,4625.0,4474.67,4509.0,4474.0,4601.33,4460.0,4406.67,4428.0,4376.92,4166.67,4213.33,4266.0,4861.67,4641.83,4484.67,4481.0,4860.67,4741.0,4556.75,4938.33,4499.33,4427.67,4361.67,4351.0,3933.33,4191.0,4564.33,4715.33,5504.25,4855.0,5391.0,6146.67,5624.33
